,1 Fatality Rate,2 CO2 footprint,3 Number of countries playing it,4 Ratio of Players of each gender,5 Number of Players,6 Cost of Equipment for Players,7 Presence in University Sports,8 Injury Rate,9 Social Media Presence,10 Gender Pay Gap,11 Ratio of each gender in coaching positions,12 Doping Statistics,13 Ease of developing new strategies,14 Accessibility across different streaming platforms,15 Movies/documentaries
Water Polo,0.995321875,0.842421053,0.3608867,0.778222222,0.015423771,0.939969925,0.149573935,0.954220184,0.87525,0.6008,0.778222222,0.923230769,0.002,0.002,0.0519
Ultimate Frisbee,0.998440625,0.894947368,0.272394089,0.556444444,0.006940347,0.99624812,0.149573935,0.963376147,0.2515,1,0.889111111,0.961615385,0.667333333,0.002,0.002
Gaelic Football,0.995321875,0.842421053,0.139655172,0.334666667,0.002948147,0.977488722,0.024511278,0.688697248,0.12675,1,0.778222222,0.923230769,0.334666667,0.002,0.002
Hurling,0.995321875,0.842421053,0.041330049,0.112888889,0.002698635,0.977488722,0.009503759,0.642917431,0.12675,1,0.778222222,0.923230769,0.002,0.002,0.002
Beach Soccer,0.995321875,0.894947368,0.213399015,0.556444444,0.011930597,0.989994988,0.009503759,0.94506422,0.7505,0.4012,0.889111111,0.846461539,0.002,0.002,0.002
Dragon Boat Racing,0.995321875,0.684842105,0.213399015,0.778222222,0.009435472,0.908704261,0.009503759,0.981688073,0.2515,1,0.889111111,0.961615385,0.334666667,0.002,0.002
Tchoukball,0.998440625,0.894947368,0.041330049,0.556444444,0.002449122,0.977488722,0.004501253,0.990844037,0.002,1,0.889111111,0.961615385,0.667333333,0.002,0.002
Netball,0.998440625,0.842421053,0.287142857,0.334666667,0.011930597,0.977488722,0.499749373,0.94506422,0.002,0.8004,0.778222222,0.923230769,0.334666667,0.002,0.002
Roller Derby,0.998440625,0.737368421,0.139655172,0.112888889,0.002449122,0.95622807,0.04952381,0.871816514,0.501,0.8004,0.889111111,0.846461539,0.667333333,0.002,0.1018
Baseball,0.97816875,0.789894737,0.213399015,0.556444444,0.034386719,0.977488722,0.499749373,0.94506422,1,0.002,0.112888889,0.692923077,0.002,0.445555556,0.501
Basketball,0.995321875,0.789894737,1,1,0.226511326,0.986868421,0.749874687,0.761944954,1,0.002,0.778222222,0.769692308,0.002,0.445555556,0.501
Cricket,0.995321875,0.737368421,0.606699507,0.778222222,0.151657583,0.958729323,0.499749373,0.94506422,0.7505,0.2016,0.334666667,0.846461539,0.334666667,0.334666667,0.1517
Field Hockey,0.995321875,0.789894737,0.508374384,0.112888889,1,0.977488722,0.24962406,0.853504587,0.62575,0.6008,0.889111111,0.846461539,0.002,0.223777778,0.1018
Flag football,0.998440625,0.894947368,0.213399015,0.334666667,0.006940347,0.993121554,0.099548872,0.89012844,0.501,0.6008,0.889111111,0.923230769,0.002,0.112888889,0.002
Football,0.97816875,0.737368421,1,0.112888889,0.003946197,0.977488722,1,0.761944954,0.7505,0.2016,0.556444444,0.846461539,0.002,1,1
Handball,0.995321875,0.842421053,0.508374384,0.778222222,0.026901345,0.989994988,0.009503759,0.89012844,0.62575,0.6008,0.667333333,0.923230769,0.002,0.112888889,0.002
Lacrosse,0.995321875,0.737368421,0.139655172,0.334666667,0.002948147,0.927463659,0.24962406,0.798568807,0.501,0.6008,0.778222222,0.923230769,0.334666667,0.112888889,0.1018
Rugby,0.995321875,0.789894737,0.508374384,1,0.006940347,0.977488722,0.149573935,0.551357798,0.501,0.2016,0.667333333,0.769692308,0.002,0.334666667,0.2515
Tug of War,0.99937625,0.894947368,0.262561576,0.556444444,0.002449122,0.99624812,0.004501253,0.981688073,0.37625,1,0.778222222,0.923230769,0.667333333,0.002,0.002
Volleyball,0.998440625,0.842421053,1,0.556444444,0.401170059,0.994997494,0.499749373,0.94506422,1,0.6008,0.889111111,0.923230769,0.334666667,0.334666667,0.1517
Mixed Martial Arts (MMA),0.9313875,0.789894737,0.287142857,0.778222222,0.051852593,0.927463659,0.024511278,0.551357798,0.62575,0.2016,0.223777778,1,1,0.445555556,0.4012
Kickboxing,0.37625,0.842421053,0.410049261,1,0.016920846,0.977488722,0.009503759,0.853504587,0.37625,0.4012,0.445555556,0.462615385,1,0.334666667,0.2016
"Martial Arts (Karate, Kung Fu)",0.995321875,0.894947368,0.508374384,0.334666667,0.101755088,0.977488722,0.04952381,0.89012844,0.501,0.6008,0.334666667,0.923230769,1,0.112888889,0.501
Sumo,0.995321875,0.842421053,0.090492611,0.556444444,0.004445222,0.964982456,0.002,0.780256881,0.002,0.4012,0.112888889,0.923230769,1,0.002,0.0519
Boxing,0.002,0.842421053,0.754187192,1,0.051852593,0.964982456,0.099548872,0.002,0.501,0.2016,0.334666667,0.539384615,1,0.445555556,0.7505
Judo,0.995321875,0.842421053,0.508374384,0.334666667,0.011930597,0.986243108,0.04952381,0.89012844,0.37625,0.8004,0.667333333,0.846461539,1,0.112888889,0.1018
Karate,0.995321875,0.894947368,0.508374384,0.556444444,0.051852593,0.986243108,0.04952381,0.871816514,0.37625,0.6008,0.445555556,0.923230769,1,0.112888889,0.1517
Taekwondo,0.995321875,0.894947368,0.508374384,0.778222222,0.036881844,0.989994988,0.04952381,0.89012844,0.2515,0.6008,0.667333333,0.846461539,1,0.112888889,0.1018
Wrestling,0.995321875,0.842421053,0.508374384,0.002,0.014425721,0.986243108,0.24962406,0.853504587,0.62575,0.4012,0.334666667,0.539384615,1,0.223777778,0.3014
Table Football (Foosball),1,0.947473684,0.041330049,0.334666667,0.006940347,0.989994988,0.004501253,0.990844037,0.501,1,1,1,0.334666667,0.002,0.002
Billiards (Pool),1,0.894947368,0.237980296,0.778222222,0.051852593,0.964982456,0.024511278,0.990844037,0.7505,0.8004,0.556444444,1,1,0.112888889,0.1018
Padel,0.998440625,0.842421053,0.139655172,0.778222222,0.006940347,0.958729323,0.004501253,0.94506422,0.12675,0.8004,0.889111111,0.923230769,0.667333333,0.112888889,0.002
Pickleball,0.995321875,0.842421053,0.139655172,0.778222222,0.003946197,0.989994988,0.024511278,0.963376147,0.501,1,0.889111111,0.961615385,0.667333333,0.112888889,0.002
Basque Pelota,0.995321875,0.789894737,0.041330049,0.334666667,0.002948147,0.977488722,0.002,0.89012844,0.12675,1,0.778222222,0.923230769,0.334666667,0.002,0.002
Diving,0.995321875,0.737368421,0.508374384,0.556444444,0.011930597,1,0.04952381,0.94506422,0.87525,0.8004,0.889111111,0.846461539,1,0.112888889,0.1018
Fencing,0.998440625,0.789894737,0.508374384,0.556444444,0.006940347,0.927463659,0.024511278,0.94506422,0.7505,0.8004,0.778222222,0.846461539,0.667333333,0.112888889,0.0519
Badminton,1,0.842421053,0.754187192,0.778222222,0.101755088,0.994997494,0.04952381,0.94506422,1,0.6008,0.778222222,0.846461539,0.334666667,0.223777778,0.0519
Breaking,1,0.947473684,0.237980296,1,0.006940347,0.989994988,0.004501253,0.94506422,0.62575,1,0.889111111,0.961615385,1,0.002,0.1517
Jeu de Paume,1,0.947473684,0.002,0.334666667,0.002,0.927463659,0.002,0.990844037,0.12675,1,0.778222222,0.923230769,0.002,0.002,0.002
Rackets,1,0.894947368,0.002,1,0.002,0.993746867,0.002,0.981688073,0.37625,1,0.889111111,0.923230769,0.002,0.002,0.002
Squash,1,0.842421053,0.508374384,0.778222222,0.011930597,0.977488722,0.024511278,0.853504587,0.37625,0.8004,0.778222222,0.846461539,0.002,0.112888889,0.1018
Table Tennis,1,0.947473684,0.508374384,1,0.151657583,0.989994988,0.04952381,0.981688073,0.37625,0.8004,0.778222222,0.846461539,0.334666667,0.223777778,0.1018
Tennis,1,0.737368421,1,0.556444444,0.500975049,0.977488722,0.499749373,0.94506422,0.87525,0.4012,0.889111111,0.692923077,0.334666667,0.445555556,0.3014
Bowling,1,0.842421053,0.262561576,0.334666667,0.051852593,0.985617795,0.024511278,0.990844037,0.62575,0.8004,0.778222222,1,0.667333333,0.002,0.0519
Darts,1,0.947473684,0.262561576,0.556444444,0.006940347,0.998749373,0.004501253,0.990844037,0.37625,0.8004,0.556444444,1,1,0.002,0.0519
